datetime,exchange_rate
2026-09-25 13:18:00,277.02694
2026-09-25 13:19:00,277.06136
2026-09-25 13:20:00,277.07188
2026-09-25 13:21:00,277.04026
2026-09-25 13:22:00,277.05967
2026-09-25 13:23:00,277.0377
2026-09-25 13:24:00,277.07305
2026-09-25 13:25:00,277.07904
2026-09-25 13:26:00,277.06493
2026-09-25 13:27:00,277.05235
2026-09-25 13:28:00,277.04782
2026-09-25 13:29:00,277.05588
2026-09-25 13:30:00,277.06426
2026-09-25 13:31:00,277.03985
2026-09-25 13:32:00,277.07012
2026-09-25 13:33:00,277.04037
2026-09-25 13:34:00,277.07611
2026-09-25 13:35:00,277.05764
2026-09-25 13:36:00,277.05415
2026-09-25 13:37:00,277.07213
2026-09-25 13:38:00,277.05177
2026-09-25 13:39:00,277.04119
2026-09-25 13:40:00,277.07524
2026-09-25 13:41:00,277.08973
2026-09-25 13:42:00,277.05884
2026-09-25 13:43:00,277.04962
2026-09-25 13:44:00,277.07005
2026-09-25 13:45:00,277.07331
2026-09-25 13:46:00,277.04801
2026-09-25 13:47:00,277.03921
2026-09-25 13:48:00,277.07678
2026-09-25 13:49:00,277.08467
2026-09-25 13:50:00,277.05649
2026-09-25 13:51:00,277.06714
2026-09-25 13:52:00,277.04663
2026-09-25 13:53:00,277.07081
2026-09-25 13:54:00,277.07227
2026-09-25 13:55:00,277.06437
2026-09-25 13:56:00,277.08047
2026-09-25 13:57:00,277.06211
2026-09-25 13:58:00,277.04809
2026-09-25 13:59:00,277.0633
2026-09-25 14:00:00,277.06061
2026-09-25 14:01:00,277.06135
2026-09-25 14:02:00,277.03754
2026-09-25 14:03:00,277.09583
2026-09-25 14:04:00,277.06075
2026-09-25 14:05:00,277.05303
2026-09-25 14:06:00,277.16447
2026-09-25 14:07:00,277.07285
2026-09-25 14:08:00,277.0709
2026-09-25 14:09:00,277.04503
2026-09-25 14:10:00,276.99585
2026-09-25 14:11:00,277.13156
2026-09-25 14:12:00,277.07417
2026-09-25 14:13:00,277.06624
2026-09-25 14:14:00,277.09181
2026-09-25 14:15:00,277.05379
2026-09-25 14:16:00,277.15197
2026-09-25 14:17:00,277.08136
2026-09-25 14:18:00,277.15558
2026-09-25 14:19:00,277.07637
2026-09-25 14:20:00,277.08043
2026-09-25 14:21:00,277.12913
2026-09-25 14:22:00,277.14564
2026-09-25 14:23:00,277.06719
2026-09-25 14:24:00,277.04438
2026-09-25 14:25:00,277.10376
2026-09-25 14:26:00,277.14167
2026-09-25 14:27:00,277.07331
2026-09-25 14:28:00,277.05065
2026-09-25 14:29:00,277.06473
2026-09-25 14:30:00,277.0992
2026-09-25 14:31:00,277.11835
2026-09-25 14:32:00,277.07011
2026-09-25 14:33:00,277.14029
2026-09-25 14:34:00,277.09548
2026-09-25 14:35:00,277.06185
2026-09-25 14:36:00,277.13472
2026-09-25 14:37:00,277.06011
2026-09-25 14:38:00,277.03695
2026-09-25 14:39:00,277.05406
2026-09-25 14:40:00,277.08091
2026-09-25 14:41:00,277.11499
2026-09-25 14:42:00,277.05921
2026-09-25 14:43:00,277.08698
2026-09-25 14:44:00,277.09146
2026-09-25 14:45:00,277.07756
2026-09-25 14:46:00,277.18349
2026-09-25 14:47:00,277.05972
2026-09-25 14:48:00,277.14887
2026-09-25 14:49:00,277.06349
2026-09-25 14:50:00,277.00346
2026-09-25 14:51:00,277.16271
2026-09-25 14:52:00,277.08104
2026-09-25 14:53:00,277.07428
2026-09-25 14:54:00,277.06221
2026-09-25 14:55:00,277.12641
2026-09-25 14:56:00,277.16873
